Epoch,train_acc1(%),train_acc5(%),loss,test_acc1(%),test_acc5(%),time(min)
1,3.5533199310302734,10.513530731201172,5.962760192460959,10.679999351501465,27.17799949645996,12.0
2,17.614238739013672,37.65907287597656,4.274410558947124,24.947999954223633,49.6879997253418,11.0
3,28.483383178710938,52.282291412353516,3.49869867505469,35.071998596191406,61.10199737548828,11.0
4,35.724586486816406,60.37209701538086,3.048963174167513,42.433998107910156,68.39399719238281,11.0
5,41.22394561767578,65.64009857177734,2.742236583993605,46.211997985839844,71.68799591064453,11.0
6,44.466609954833984,68.6707763671875,2.5581663680571163,50.59000015258789,75.39199829101562,11.0
7,46.83850860595703,70.86064910888672,2.429308436802503,52.013999938964844,76.56399536132812,11.0
8,48.67745590209961,72.51070404052734,2.3263762664632943,53.323997497558594,77.83399963378906,11.0
9,50.293479919433594,73.70992279052734,2.245060578569054,53.82600021362305,78.1500015258789,11.0
10,51.197654724121094,74.61066436767578,2.190168233520018,55.32600021362305,79.5479965209961,11.0
11,52.25387954711914,75.32220458984375,2.144632638963467,55.913997650146484,79.7719955444336,11.0
12,53.22549057006836,76.13084411621094,2.0903661263782105,57.17599868774414,80.48400115966797,11.0
13,53.64167404174805,76.57106018066406,2.0666845167104366,57.45399856567383,80.75399780273438,11.0
14,54.248931884765625,77.06842041015625,2.034683452808934,58.83199691772461,81.98199462890625,11.0
15,54.62421417236328,77.32038116455078,2.0159845718169027,57.784000396728516,81.19200134277344,11.0
16,55.141868591308594,77.57514953613281,1.9937738533517146,58.465999603271484,81.83200073242188,11.0
17,55.365726470947266,77.95667266845703,1.9744220719999603,59.10799789428711,82.23400115966797,11.0
18,55.68855667114258,78.09841918945312,1.9595878800043698,58.615997314453125,82.05199432373047,11.0
19,56.1640625,78.6772689819336,1.9265490712055104,59.55799865722656,82.27999877929688,11.0
20,56.33171844482422,78.6341781616211,1.9274398261999677,59.435997009277344,82.45600128173828,11.0
21,56.605220794677734,78.8911361694336,1.9109820974039433,59.92599868774414,82.71199798583984,11.0
22,56.97145080566406,79.1165542602539,1.8966171163192582,60.65599822998047,83.28399658203125,11.0
23,57.04169845581055,79.2476806640625,1.8858677860132478,60.72999954223633,83.08999633789062,11.0
24,57.25743865966797,79.4000473022461,1.8787023635590232,60.067996978759766,82.77799987792969,11.0
25,57.41416931152344,79.47997283935547,1.8677773830775217,60.76799774169922,83.39199829101562,11.0
26,57.57090377807617,79.62296295166016,1.8611155642918606,60.24199676513672,83.21199798583984,11.0
27,57.798194885253906,79.79843139648438,1.851107602990488,60.163997650146484,83.2459945678711,11.0
28,58.01268768310547,79.93611907958984,1.8394305712425827,61.1619987487793,83.66199493408203,11.0
29,58.24622344970703,80.10814666748047,1.8291955451026938,61.683998107910156,83.93199920654297,11.0
30,58.28774642944336,80.21742248535156,1.8225604401834348,61.17399978637695,83.57599639892578,11.0
31,58.50161361694336,80.39663696289062,1.8116789988862354,61.645999908447266,84.02799987792969,11.0
32,58.54969787597656,80.36385345458984,1.8138201127822233,60.347999572753906,83.29199981689453,11.0
33,58.7488899230957,80.57178497314453,1.8025483045483557,61.317996978759766,83.84199523925781,11.0
34,58.80664825439453,80.59770202636719,1.7975087838259678,62.10599899291992,84.46599578857422,11.0
35,59.03581619262695,80.7744140625,1.7826660963778935,62.10199737548828,84.38600158691406,11.0
36,59.13260269165039,80.78721618652344,1.7816771171033228,62.21999740600586,84.22200012207031,11.0
37,59.19567108154297,80.85964965820312,1.7752105514784624,62.481998443603516,84.5260009765625,11.0
38,59.22377014160156,80.83092498779297,1.7773874953027957,62.349998474121094,84.64199829101562,11.0
39,59.39173889160156,80.8896255493164,1.7725994682805684,62.46799850463867,84.5979995727539,11.0
40,59.36582565307617,81.08631896972656,1.7670408457455469,61.68000030517578,84.0999984741211,11.0
41,59.52006149291992,81.17467498779297,1.7559439247182393,62.99799728393555,84.88600158691406,11.0
42,59.68928146362305,81.23336791992188,1.7521055857075496,63.1619987487793,85.0,11.0
43,59.78325653076172,81.32828521728516,1.7471283752742301,62.461997985839844,84.63399505615234,11.0
44,59.80573654174805,81.2183837890625,1.7468619433710975,62.20800018310547,84.49800109863281,11.0
45,60.097660064697266,81.52654266357422,1.734925374167056,63.36199951171875,85.11799621582031,11.0
46,60.16790771484375,81.55339050292969,1.7312691732289207,62.94999694824219,85.16999816894531,11.0
47,60.05207443237305,81.48470306396484,1.7345296326649857,62.97599792480469,84.78399658203125,11.0
48,60.343685150146484,81.72604370117188,1.7172102833714837,63.39999771118164,85.3740005493164,11.0
49,60.31714630126953,81.7244873046875,1.719153753021977,63.407997131347656,85.2459945678711,11.0
50,60.507286071777344,81.80441284179688,1.712453616177866,63.88999938964844,85.40799713134766,11.0
51,60.4364128112793,81.792236328125,1.711546934702182,63.227996826171875,85.02999877929688,11.0
52,60.663082122802734,81.96894836425781,1.70487975048167,62.94999694824219,84.84199523925781,11.0
53,60.79015350341797,82.06261444091797,1.6956113954036007,63.9839973449707,85.4679946899414,11.0
54,60.82231140136719,82.02577209472656,1.6973830281392177,63.35799789428711,85.16600036621094,11.0
55,60.817626953125,81.96614074707031,1.6953254760278624,63.891998291015625,85.63800048828125,11.0
56,61.01588439941406,82.1946792602539,1.6855474491795757,63.917999267578125,85.53799438476562,11.0
57,61.09580993652344,82.15440368652344,1.683476562645779,63.35599899291992,85.32999420166016,11.0
58,61.028682708740234,82.2480697631836,1.6822007477187453,64.01599884033203,85.58399963378906,11.0
59,61.306556701660156,82.38607025146484,1.669890657230876,64.0739974975586,85.79399871826172,11.0
60,61.36494064331055,82.3598403930664,1.6721303976380246,64.14399719238281,85.61599731445312,11.0
61,61.43144226074219,82.4678726196289,1.665229700559794,63.8859977722168,85.3740005493164,11.0
